Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.17.0.8-79.135.33.188-60383-102-6,117.140.90.154,60383,79.135.33.188,102,6,19/11/2019 04:13:35 ÏÂÎç,707083,2,1,0,0,0,0,0,0,0,0,0,0,0,4.242783379,353541.5,499943.5862,707055,28,707083,707083,0,707083,707083,0,0,0,0,0,0,0,0,0,44,24,2.828522253,1.414261126,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,8232,0,20,0,0,0,0,0,0,0,0,0,NeedManualLabel
172.17.0.8-79.135.33.188-49736-102-6,172.17.0.8,49736,79.135.33.188,102,6,19/11/2019 04:13:36 ÏÂÎç,6023400,9,13,146,602,33,0,16.22222222,15.8412261,247,0,46.30769231,82.2408907,124.1823555,3.65242222,286828.5714,642094.1739,2964118,22,5684252,710531.5,1087904.032,3342214,130,5415970,451330.8333,806844.9315,2964118,32,0,0,0,0,296,428,1.494172726,2.158249494,0,247,32.52173913,63.63594579,4049.533597,2,2,0,11,21,0,0,0,1,34,16.22222222,46.30769231,0,0,0,726,9,418,9,146,13,602,29200,9373,5,32,0,0,0,0,0,0,0,0,0,NeedManualLabel
